topic_id,topic_name,cluster,subcluster,is_export_thesis,is_enabler_only,deemphasised_flag,byproduct_flag,policy_gate_flag,notes
CRM001,"Green iron exports (DRI, HBI, hot metal, ESF pathways)","A Anchor export plays","Iron and steel",yes,no,no,no,no,"Largest value uplift opportunity from existing iron ore strength"
CRM002,"Green aluminium (low-carbon alumina plus renewable-powered smelting, alloys)","A Anchor export plays","Alumina and aluminium",yes,no,no,no,no,"Combines strong bauxite and alumina base with decarbonisation premium"
CRM003,"Copper upgrading (refining plus semi-fab: rod, wire, foil)","A Anchor export plays","Copper value-add",yes,no,no,no,no,"Moves exports from concentrates toward higher value copper products"
CRM004,"Rare earth separation to oxides (NdPr, Dy, Tb)","A Anchor export plays","Rare earth processing",yes,no,no,no,no,"Strategic leverage in magnet supply chains"
CRM005,"Green chemical feedstocks at scale (ammonia, methanol)","A Anchor export plays","Industrial feedstocks",yes,no,no,no,no,"Export product and input for domestic processing hubs"
CRM006,"Fertilisers and ag-inputs (potash, phosphate, finished fertilisers; low-carbon ammonia integration)","A Anchor export plays","Ag inputs",yes,no,no,no,no,"Links mineral inputs with resilient food and chemical supply chains"
CRM007,"Uranium value lift toward fuel-cycle services via partnerships (policy-gated)","A Anchor export plays","Nuclear fuel chain",yes,no,no,no,yes,"Strategic upside exists but policy settings are decisive"
CRM008,"Silicon metal at scale (metallurgical silicon)","A Anchor export plays","Silicon intermediates",yes,no,no,no,no,"High value intermediate for solar electronics and alloys"
CRM009,"Manganese upgrading (battery and alloying chemicals, EMM and HPMSM pathways)","A Anchor export plays","Manganese chemicals",yes,no,no,no,no,"Creates higher margin products from existing ore base"
CRM010,"Graphite anode materials (purified spherical graphite, coated anode)","A Anchor export plays","Battery anodes",yes,no,no,no,no,"Critical battery bottleneck with exportable processed outputs"
CRM011,"Permanent magnets (NdFeB): metals, alloys, magnet manufacturing","B Strategic components","Magnet manufacturing",yes,no,no,no,no,"High geopolitical leverage and high qualification barrier"
CRM012,"Battery-grade lithium chemicals (hydroxide, carbonate where viable)","B Strategic components","Lithium chemicals",yes,no,no,no,no,"Builds on existing spodumene position and processing footprint"
CRM013,"Lithium beyond hydroxide: lithium metal, electrolyte salts (LiPF6), specialty lithium chemicals","B Strategic components","Advanced lithium",yes,no,no,no,no,"Higher value but more demanding qualification and technology risk"
CRM014,"Cathode materials: pCAM and CAM","B Strategic components","Battery cathodes",yes,no,no,no,no,"Captures more battery chain value with strong offtake dependence"
CRM015,"Nickel and cobalt sulphates (battery-grade)","B Strategic components","Battery precursor salts",yes,no,no,no,no,"Downstream conversion aligns with battery supply chain demand"
CRM016,"Vanadium chemicals and electrolyte for flow batteries and long-duration storage","B Strategic components","Vanadium energy storage",yes,no,no,no,no,"Niche but strategically useful long duration storage segment"
CRM017,"High-purity alumina and specialty alumina products","B Strategic components","Specialty alumina",yes,no,no,no,no,"Strong adjacency to alumina base and electronics demand"
CRM018,"High-purity silica and specialty quartz (PV, semiconductor supply chains)","B Strategic components","Silica and quartz",yes,no,no,no,no,"Strategic input with geology and processing quality constraints"
CRM019,"Green polysilicon (solar-grade, wafers over time)","B Strategic components","Solar materials",yes,no,no,no,no,"Potentially large but energy and capex intensive pathway"
CRM020,"Titanium metal and powders (aerospace, defence, additive manufacturing)","B Strategic components","Titanium advanced materials",yes,no,no,no,no,"High value and strategic but qualification cycle is long"
CRM021,"High-purity copper and specialty alloys (beyond basic rod and wire)","B Strategic components","Copper specialties",yes,no,no,no,no,"Extension of copper upgrading with tighter quality requirements"
CRM022,"Defence-grade materials supply chains (qualified steels, armour inputs, magnets, Ti powders, qualified alloys)","B Strategic components","Defence materials",yes,no,no,no,no,"Leverage comes from qualification and trusted supply status"
CRM023,"Ore upgrading and beneficiation as a service (pelletisation, impurity removal, other ores)","C Enabling platforms","Ore pre-processing",no,yes,no,no,no,"Cross-cutting enabler improving export grade and project economics"
CRM024,"Firmed clean power platform for industry (generation, transmission, storage, power quality)","C Enabling platforms","Power platform",no,yes,no,no,no,"Non-negotiable enabler for low-carbon processing competitiveness"
CRM025,"Hydrogen production and industrial clean energy inputs (primarily as enabler)","C Enabling platforms","Hydrogen and energy carriers",no,yes,no,no,no,"Important to some pathways but project economics remain context specific"
CRM026,"Industrial reagents platform (acids, caustic, soda ash, lime) tied to hubs","C Enabling platforms","Reagents",no,yes,no,no,no,"Gates processing reliability and throughput across multiple chains"
CRM027,"Fluorine and phosphate reagent chains (explicit gating sub-platform)","C Enabling platforms","Gating reagents",no,yes,no,no,no,"Disproportionate gating effect on battery and specialty chemical chains"
CRM028,"Traceability, certification, MRV, and product passports (market access infrastructure)","C Enabling platforms","Market access systems",no,yes,no,no,no,"Supports premium access and trusted supplier positioning"
CRM029,"Green premium market infrastructure (offtake structuring, trading, price discovery, long-term contracting)","C Enabling platforms","Commercial market design",no,yes,no,no,no,"Needed to monetise low-carbon attributes and reduce revenue volatility"
CRM030,"Strategic logistics and certified supply ports (QA labs, blending, dedicated terminals, inventory)","C Enabling platforms","Port and logistics",no,yes,no,no,no,"Concentrates capability and lowers transaction friction"
CRM031,"Mining services and EPC export (modular processing plants, commissioning, maintenance)","C Enabling platforms","Services export",yes,no,no,no,no,"Builds exportable capability beyond physical commodity flows"
CRM032,"Industrial control software and optimisation for processing and green metals (exportable capability)","C Enabling platforms","Industrial software",yes,no,no,no,no,"Digital layer can scale across multiple mineral value chains"
CRM033,"Strategic reserves and stockpile services (governance, storage, QA, financing)","C Enabling platforms","Stockpile services",no,yes,no,no,no,"Strategic function with limited direct export revenue"
CRM034,"Industrial CCS hubs and CO2 transport and storage (protect export competitiveness)","C Enabling platforms","CCS infrastructure",no,yes,no,no,no,"Defensive enabler for emissions-intensive anchors"
CRM035,"Antimony (oxide and metal refining)","D Minor metals and byproducts","Antimony",yes,no,no,no,no,"Defence and industrial choke point with concentrated supply"
CRM036,"Gallium recovery and refining (byproduct-led strategy)","D Minor metals and byproducts","Gallium",yes,no,no,yes,no,"Byproduct pathway can leverage existing alumina and zinc systems"
CRM037,"Germanium recovery and refining (byproduct-led strategy)","D Minor metals and byproducts","Germanium",yes,no,no,yes,no,"High strategic relevance in electronics and optics"
CRM038,"Indium recovery and refining (byproduct-led strategy)","D Minor metals and byproducts","Indium",yes,no,no,yes,no,"Strategic but limited scale and feedstock concentration risk"
CRM039,"Selenium and tellurium recovery (copper refining byproducts)","D Minor metals and byproducts","Selenium and tellurium",yes,no,no,yes,no,"Natural adjacency to copper refinery byproduct streams"
CRM040,"Tungsten intermediates and powders (APT, metal powders)","D Minor metals and byproducts","Tungsten",yes,no,no,no,no,"High value density and defence relevance"
CRM041,"Tin refining and solder-grade products","D Minor metals and byproducts","Tin",yes,no,no,no,no,"Electronics relevance and manageable process pathway"
CRM042,"Bismuth refining and compounds (byproduct)","D Minor metals and byproducts","Bismuth",yes,no,no,yes,no,"Useful niche but smaller market depth"
CRM043,"Specialty cobalt and nickel metal products (high-purity rounds, powders)","D Minor metals and byproducts","Specialty Ni-Co metals",yes,no,no,no,no,"Moves from salts into higher-value specialty forms"
CRM044,"Specialty phosphates and purified phosphoric acid (non-fertiliser grades)","D Minor metals and byproducts","Specialty phosphates",yes,no,no,no,no,"Cross-sector demand in chemicals and energy materials"
CRM045,"Boron products and advanced borates (specialty chemicals)","D Minor metals and byproducts","Boron",yes,no,no,no,no,"Smaller but strategic specialty chemical opportunity"
CRM046,"High-performance carbon materials (synthetic graphite, needle coke, carbon fibres)","D Minor metals and byproducts","Advanced carbon",yes,no,no,no,no,"Strategic potential with high technology and cost barriers"
CRM047,"Advanced refractories and furnace consumables (green iron, copper, alumina enablement)","D Minor metals and byproducts","Refractories",yes,no,no,no,no,"Enables anchor processes with moderate export upside"
CRM048,"Battery recycling and urban mining (domestic loop plus regional feedstock)","E Circular and regional hubs","Battery recycling",yes,no,no,no,no,"Exportable if linked to regional feedstock and recovered products"
CRM049,"Black mass import processing hub for Asia-Pacific","E Circular and regional hubs","Black mass processing",yes,no,no,no,no,"Regional feedstock model can create processing scale quickly"
CRM050,"Regional recycling hub services model (contracting, logistics, QA, compliance)","E Circular and regional hubs","Recycling services",yes,no,no,no,no,"Service-led model depends on long-term contract aggregation"
CRM051,"Battery separator materials (specialty polymers)","F Qualification-driven battery ecosystem","Separators",yes,no,no,no,no,"High qualification and incumbent competition barriers"
CRM052,"Battery binder materials (PVDF and alternatives)","F Qualification-driven battery ecosystem","Binders",yes,no,no,no,no,"Strategic relevance but complex chemistry and qualification curve"
CRM053,"Electrolyte solvents (DMC, EMC, DEC) and additive packages","F Qualification-driven battery ecosystem","Electrolyte chemicals",yes,no,no,no,no,"Requires deep chemical integration and qualified offtake"
CRM054,"Electrolyte formulation and qualification capability (OEM-facing)","F Qualification-driven battery ecosystem","Electrolyte qualification",yes,no,no,no,no,"Capability play with slower commercialisation"
CRM055,"Anode and cathode precursor supply chain QA and metrology (reference materials, test protocols)","F Qualification-driven battery ecosystem","Battery QA and metrology",yes,no,no,no,no,"Valuable trust layer but indirect revenue path"
CRM056,"Precision metallurgical testing, certification labs, and reference material production","G Hub capability exports","Testing and certification",yes,no,no,no,no,"Fast build adjacency and exportable services capability"
CRM057,"Commodity finance and project finance capability packaged for green metals","G Hub capability exports","Finance capability",yes,no,no,no,no,"Can unlock projects but depends on market and policy certainty"
CRM058,"Subsea and cryogenic logistics supply chain (CO2, hydrogen carriers, ammonia terminals) leveraging LNG adjacency","G Hub capability exports","Cryogenic logistics",yes,no,no,no,no,"Strong adjacency but large capex and sequencing risk"
CRM059,"Industrial gases expansion tied to hubs (oxygen, nitrogen, argon; cryogenics)","G Hub capability exports","Industrial gases",no,yes,no,no,no,"Essential operating enabler with moderate standalone export value"
CRM060,"Industrial water as a gating enabler for hubs (constraint item, not export thesis)","G Hub capability exports","Water and desalination",no,yes,yes,no,no,"Retained as build constraint and site selection condition"
