source_key,title,year,type,path,status,subtopic,notes
aemo_and_oxford_economics_2025_australia_data_centre_energy_consumption_report_pdf,AEMO and Oxford Economics - 2025 - Australia Data Centre Energy Consumption Report.pdf,2025,pdf,content/topics/topic01_copper/refs-sources/aemo_and_oxford_economics_2025_australia_data_centre_energy_consumption_report_pdf.pdf,mirrored,core,Copied from original copper corpus
disr_2025_resources_and_energy_quarterly_december_2025_pdf,DISR - 2025 - Resources and Energy Quarterly December 2025.pdf,2025,pdf,content/topics/topic01_copper/refs-sources/disr_2025_resources_and_energy_quarterly_december_2025_pdf.pdf,mirrored,core,Copied from original copper corpus
dong_et_al_2020_comprehensive_recoveries_of_selenium_copper_gold_silver_and_lead_from_a_copper_anode_slime_with_a_clean_and_economical_hydrometallurgical_process_pdf,Dong et al. - 2020 - Comprehensive Recoveries of Selenium Copper Gold Silver and Lead from a Copper Anode Slime with a Clean and Economical Hydrometallurgical Process.pdf,2020,pdf,content/topics/topic01_copper/refs-sources/dong_et_al_2020_comprehensive_recoveries_of_selenium_copper_gold_silver_and_lead_from_a_copper_anode_slime_with_a_clean_and_economical_hydrometallurgical_process_pdf.pdf,mirrored,core,Copied from original copper corpus
eu_publications_office_2024_critical_raw_materials_act_pdf,EU Publications Office - 2024 - Critical Raw Materials Act.pdf,2024,pdf,content/topics/topic01_copper/refs-sources/eu_publications_office_2024_critical_raw_materials_act_pdf.pdf,mirrored,core,Copied from original copper corpus
fastmarkets_2024_copper_cathode_premium_methodology_and_price_specifications_pdf,Fastmarkets - 2024 - Copper Cathode Premium Methodology and Price Specifications.pdf,2024,pdf,content/topics/topic01_copper/refs-sources/fastmarkets_2024_copper_cathode_premium_methodology_and_price_specifications_pdf.pdf,mirrored,core,Copied from original copper corpus
fastmarkets_2025_copper_concentrates_index_methodology_and_price_specifications_pdf,Fastmarkets - 2025 - Copper Concentrates Index Methodology and Price Specifications.pdf,2025,pdf,content/topics/topic01_copper/refs-sources/fastmarkets_2025_copper_concentrates_index_methodology_and_price_specifications_pdf.pdf,mirrored,core,Copied from original copper corpus
jadoun_et_al_2025_recovery_of_metals_from_e_waste_facts_methods_challenges_case_studies_and_sustainable_solutions_pdf,Jadoun et al. - 2025 - Recovery of Metals from E-waste Facts Methods Challenges Case Studies and Sustainable Solutions.pdf,2025,pdf,content/topics/topic01_copper/refs-sources/jadoun_et_al_2025_recovery_of_metals_from_e_waste_facts_methods_challenges_case_studies_and_sustainable_solutions_pdf.pdf,mirrored,core,Copied from original copper corpus
lane_et_al_2016_selective_leaching_of_penalty_elements_from_copper_concentrates_a_review_pdf,Lane et al. - 2016 - Selective Leaching of Penalty Elements from Copper Concentrates A Review.pdf,2016,pdf,content/topics/topic01_copper/refs-sources/lane_et_al_2016_selective_leaching_of_penalty_elements_from_copper_concentrates_a_review_pdf.pdf,mirrored,core,Copied from original copper corpus
s_p_global_2026_copper_in_the_age_of_ai_challenges_of_electrification_pdf,S&P Global - 2026 - Copper in the Age of AI Challenges of Electrification.pdf,2026,pdf,content/topics/topic01_copper/refs-sources/s_p_global_2026_copper_in_the_age_of_ai_challenges_of_electrification_pdf.pdf,mirrored,core,Copied from original copper corpus
s_p_global_2026_the_copper_conundrum_why_meeting_ai_era_electrification_demands_is_a_race_against_time_pdf,S&P Global - 2026 - The Copper Conundrum Why Meeting AI-Era Electrification Demands Is a Race Against Time.pdf,2026,pdf,content/topics/topic01_copper/refs-sources/s_p_global_2026_the_copper_conundrum_why_meeting_ai_era_electrification_demands_is_a_race_against_time_pdf.pdf,mirrored,core,Copied from original copper corpus
torrubia_et_al_2024_recovery_of_copper_from_electronic_waste_an_energy_transition_approach_to_decarbonise_the_industry_pdf,Torrubia et al. - 2024 - Recovery of Copper from Electronic Waste An Energy Transition Approach to Decarbonise the Industry.pdf,2024,pdf,content/topics/topic01_copper/refs-sources/torrubia_et_al_2024_recovery_of_copper_from_electronic_waste_an_energy_transition_approach_to_decarbonise_the_industry_pdf.pdf,mirrored,core,Copied from original copper corpus
usgs_2026_mineral_commodity_summaries_pdf,USGS - 2026 - Mineral Commodity Summaries.pdf,2026,pdf,content/topics/topic01_copper/refs-sources/usgs_2026_mineral_commodity_summaries_pdf.pdf,mirrored,core,Copied from original copper corpus
wood_mackenzie_2025_high_wire_act_is_soaring_copper_demand_an_obstacle_to_future_growth_pdf,Wood Mackenzie - 2025 - High-wire Act Is Soaring Copper Demand an Obstacle to Future Growth.pdf,2025,pdf,content/topics/topic01_copper/refs-sources/wood_mackenzie_2025_high_wire_act_is_soaring_copper_demand_an_obstacle_to_future_growth_pdf.pdf,mirrored,core,Copied from original copper corpus
wu_et_al_2025_scaling_bioleaching_from_lab_to_industry_a_life_cycle_assessment_of_cathode_copper_production_pdf,Wu et al. - 2025 - Scaling Bioleaching from Lab to Industry A Life Cycle Assessment of Cathode Copper Production.pdf,2025,pdf,content/topics/topic01_copper/refs-sources/wu_et_al_2025_scaling_bioleaching_from_lab_to_industry_a_life_cycle_assessment_of_cathode_copper_production_pdf.pdf,mirrored,core,Copied from original copper corpus
yang_et_al_2024_towards_resource_regeneration_a_focus_on_copper_recovery_from_electronic_waste_pdf,Yang et al. - 2024 - Towards Resource Regeneration A Focus on Copper Recovery from Electronic Waste.pdf,2024,pdf,content/topics/topic01_copper/refs-sources/yang_et_al_2024_towards_resource_regeneration_a_focus_on_copper_recovery_from_electronic_waste_pdf.pdf,mirrored,core,Copied from original copper corpus
au_copper_value_chain_collaboration_register,au_copper_value_chain_collaboration_register.csv,,csv,content/topics/topic01_copper/meta/au_copper_value_chain_collaboration_register.csv,mirrored,register,Legacy register preserved
quantitative_claim_audit_csv,quantitative_claim_audit.csv,,csv,content/topics/topic01_copper/meta/quantitative_claim_audit.csv,mirrored,audit,Legacy quantitative audit preserved
quantitative_claim_audit_md,quantitative_claim_audit.md,,md,content/topics/topic01_copper/meta/quantitative_claim_audit.md,mirrored,audit,Legacy quantitative audit narrative preserved
